float_wmo_id,lon,lat,n_matched_days
3901851,-21.7297,68.1284,128
3901988,-14.7193,68.0896,77
4902117,-19.9982,61.6136,367
4902119,-25.1938,62.6748,310
5903392,-27.2296,60.6233,10
5903395,-26.6827,63.745,133
5904173,-21.6211,61.5013,361
5904176,-28.9024,62.0271,284
6900429,-21.1061,62.0136,367
6901129,-21.2903,67.6986,217
6901167,-29.8886,62.9123,0
6901169,-29.7435,64.4821,20
6901170,-20.0141,62.3536,290
6901176,-26.5457,60.207,40
6901190,-28.9308,65.1887,40
6901191,-29.0026,62.4609,269
6901194,-29.2863,62.2648,249
6901201,-25.3605,60.4675,190
6901208,-18.493,62.0595,64
6901564,-20.8513,62.0866,368
6901566,-29.8247,63.9008,30
6901724,-20.6062,61.6806,167
6901752,-21.5957,61.1325,239
6901910,-14.3889,67.3413,361
6901921,-20.3081,62.0418,365
6901923,-24.6331,62.5117,363
6902694,-26.8881,61.6459,363
6902726,-14.6631,68.1244,277
6902728,-23.1508,68.395,147
6902730,-19.1498,68.4938,367
6902754,-28.5326,62.5268,250
6902755,-29.0013,63.0087,70
6902808,-29.323,62.8442,341
6902868,-29.5546,64.0039,122
6902910,-19.1503,67.922,51
6902912,-15.0268,67.5956,123
